id,Store,Date,Temperature,Fuel_Price,Promotion1,Promotion2,Promotion3,Promotion4,Promotion5,Unemployment,IsHoliday,Weekly_Sales
418,4,05/02/2010,43.76,2.598,,,,,,8.623,False,2135143.87
419,4,12/02/2010,28.84,2.573,,,,,,8.623,True,2188307.39
420,4,19/02/2010,36.45,2.54,,,,,,8.623,False,2049860.26
421,4,26/02/2010,41.36,2.59,,,,,,8.623,False,1925728.84
422,4,05/03/2010,43.49,2.654,,,,,,8.623,False,1971057.44
423,4,12/03/2010,49.63,2.704,,,,,,8.623,False,1894324.09
424,4,19/03/2010,55.19,2.743,,,,,,8.623,False,1897429.36
425,4,26/03/2010,39.91,2.752,,,,,,8.623,False,1762539.3
426,4,02/04/2010,48.77,2.74,,,,,,7.896,False,1979247.12
427,4,09/04/2010,54.16,2.773,,,,,,7.896,False,1818452.72
428,4,16/04/2010,56.23,2.81,,,,,,7.896,False,1851519.69
429,4,23/04/2010,56.87,2.805,,,,,,7.896,False,1802677.9
430,4,30/04/2010,53.04,2.787,,,,,,7.896,False,1817273.28
431,4,07/05/2010,56.77,2.836,,,,,,7.896,False,2000626.14
432,4,14/05/2010,62.35,2.845,,,,,,7.896,False,1875597.28
433,4,21/05/2010,67.4,2.82,,,,,,7.896,False,1903752.6
434,4,28/05/2010,67.73,2.756,,,,,,7.896,False,1857533.7
435,4,04/06/2010,70.83,2.701,,,,,,7.896,False,1903290.58
436,4,11/06/2010,78.45,2.668,,,,,,7.896,False,1870619.23
437,4,18/06/2010,81.53,2.635,,,,,,7.896,False,1929736.35
438,4,25/06/2010,81.1,2.654,,,,,,7.896,False,1846651.95
439,4,02/07/2010,73.66,2.668,,,,,,7.372,False,1881337.21
440,4,09/07/2010,80.35,2.637,,,,,,7.372,False,1812208.22
441,4,16/07/2010,78.53,2.621,,,,,,7.372,False,1898427.66
442,4,23/07/2010,79.78,2.612,,,,,,7.372,False,1848426.78
443,4,30/07/2010,80.7,2.65,,,,,,7.372,False,1796637.61
444,4,06/08/2010,76.53,2.64,,,,,,7.372,False,1907638.58
445,4,13/08/2010,78.08,2.698,,,,,,7.372,False,2007050.75
446,4,20/08/2010,78.83,2.671,,,,,,7.372,False,1997181.09
447,4,27/08/2010,74.44,2.621,,,,,,7.372,False,1848403.92
448,4,03/09/2010,76.8,2.584,,,,,,7.372,False,1935857.58
449,4,10/09/2010,73.54,2.574,,,,,,7.372,True,1865820.81
450,4,17/09/2010,64.91,2.594,,,,,,7.372,False,1899959.61
451,4,24/09/2010,60.96,2.642,,,,,,7.372,False,1810684.68
452,4,01/10/2010,63.96,2.619,,,,,,7.127,False,1842821.02
453,4,08/10/2010,67.73,2.645,,,,,,7.127,False,1951494.85
454,4,15/10/2010,62.03,2.732,,,,,,7.127,False,1867345.09
455,4,22/10/2010,64.17,2.736,,,,,,7.127,False,1927610.06
456,4,29/10/2010,56.94,2.718,,,,,,7.127,False,1933333.0
457,4,05/11/2010,51.6,2.699,,,,,,7.127,False,2013115.79
458,4,12/11/2010,52.65,2.741,,,,,,7.127,False,1999794.26
459,4,19/11/2010,48.05,2.78,,,,,,7.127,False,2097809.4
460,4,26/11/2010,48.08,2.752,,,,,,7.127,True,2789469.45
461,4,03/12/2010,46.4,2.727,,,,,,7.127,False,2102530.17
462,4,10/12/2010,42.4,2.86,,,,,,7.127,False,2302504.86
463,4,17/12/2010,46.57,2.884,,,,,,7.127,False,2740057.14
464,4,24/12/2010,43.21,2.887,,,,,,7.127,False,3526713.39
465,4,31/12/2010,38.09,2.955,,,,,,7.127,True,1794868.74
466,4,07/01/2011,39.34,2.98,,,,,,6.51,False,1862476.27
467,4,14/01/2011,31.6,2.992,,,,,,6.51,False,1865502.46
468,4,21/01/2011,38.34,3.017,,,,,,6.51,False,1886393.94
469,4,28/01/2011,40.6,3.022,,,,,,6.51,False,1814240.85
470,4,04/02/2011,34.61,2.996,,,,,,6.51,False,2119086.04
471,4,11/02/2011,33.29,3.033,,,,,,6.51,True,2187847.29
472,4,18/02/2011,48.17,3.058,,,,,,6.51,False,2316495.56
473,4,25/02/2011,49.0,3.087,,,,,,6.51,False,2078094.69
474,4,04/03/2011,46.56,3.305,,,,,,6.51,False,2103455.75
475,4,11/03/2011,50.93,3.461,,,,,,6.51,False,2039818.41
476,4,18/03/2011,51.86,3.495,,,,,,6.51,False,2116475.38
477,4,25/03/2011,59.1,3.48,,,,,,6.51,False,1944164.32
478,4,01/04/2011,56.99,3.521,,,,,,5.946,False,1900246.47
479,4,08/04/2011,62.61,3.605,,,,,,5.946,False,2074953.46
480,4,15/04/2011,62.34,3.724,,,,,,5.946,False,1960587.76
481,4,22/04/2011,68.8,3.781,,,,,,5.946,False,2220600.76
482,4,29/04/2011,64.22,3.781,,,,,,5.946,False,1878167.44
483,4,06/05/2011,63.41,3.866,,,,,,5.946,False,2063682.76
484,4,13/05/2011,70.65,3.872,,,,,,5.946,False,2002362.37
485,4,20/05/2011,70.49,3.881,,,,,,5.946,False,2015563.48
486,4,27/05/2011,73.65,3.771,,,,,,5.946,False,1986597.95
487,4,03/06/2011,78.26,3.683,,,,,,5.946,False,2065377.15
488,4,10/06/2011,80.05,3.64,,,,,,5.946,False,2073951.38
489,4,17/06/2011,83.51,3.618,,,,,,5.946,False,2141210.62
490,4,24/06/2011,81.85,3.57,,,,,,5.946,False,2008344.92
491,4,01/07/2011,84.54,3.504,,,,,,5.644,False,2051533.53
492,4,08/07/2011,84.59,3.469,,,,,,5.644,False,2066541.86
493,4,15/07/2011,83.27,3.563,,,,,,5.644,False,2049046.95
494,4,22/07/2011,82.84,3.627,,,,,,5.644,False,2036231.39
495,4,29/07/2011,84.36,3.659,,,,,,5.644,False,1989674.07
496,4,05/08/2011,86.09,3.662,,,,,,5.644,False,2160057.39
497,4,12/08/2011,82.98,3.617,,,,,,5.644,False,2105668.74
498,4,19/08/2011,82.77,3.55,,,,,,5.644,False,2232892.1
499,4,26/08/2011,81.47,3.523,,,,,,5.644,False,1988490.21
500,4,02/09/2011,77.99,3.533,,,,,,5.644,False,2078420.31
501,4,09/09/2011,73.34,3.554,,,,,,5.644,True,2093139.01
502,4,16/09/2011,72.76,3.532,,,,,,5.644,False,2075577.33
503,4,23/09/2011,69.23,3.473,,,,,,5.644,False,2031406.41
504,4,30/09/2011,72.15,3.371,,,,,,5.644,False,1929486.63
505,4,07/10/2011,65.79,3.299,,,,,,5.143,False,2166737.65
506,4,14/10/2011,63.75,3.283,,,,,,5.143,False,2074548.85
507,4,21/10/2011,64.79,3.361,,,,,,5.143,False,2207742.13
508,4,28/10/2011,55.31,3.362,,,,,,5.143,False,2151659.59
509,4,04/11/2011,49.86,3.322,,,,,,5.143,False,2281217.31
510,4,11/11/2011,47.12,3.286,12851.52,16658.47,430.13,5630.01,9213.39,5.143,False,2203028.96
511,4,18/11/2011,50.44,3.294,4539.94,840.56,372.9,613.96,5358.13,5.143,False,2243946.59
512,4,25/11/2011,47.96,3.225,561.45,137.88,83340.33,44.04,9239.23,5.143,True,3004702.33
513,4,02/12/2011,38.71,3.176,9762.39,160.94,2260.29,4767.86,28604.2,5.143,False,2180999.26
514,4,09/12/2011,31.64,3.153,5857.72,30.0,984.98,4692.5,13503.99,5.143,False,2508955.24
515,4,16/12/2011,36.44,3.149,2756.67,72.3,1790.15,777.65,10261.95,5.143,False,2771397.17
516,4,23/12/2011,35.92,3.103,2461.94,69.05,2938.24,52.0,4396.76,5.143,False,3676388.98
517,4,30/12/2011,36.89,3.119,3496.13,72413.71,399.77,776.26,5012.53,5.143,True,2007105.86
518,4,06/01/2012,38.64,3.158,7857.71,38677.72,234.0,863.22,8682.95,4.607,False,2047766.07
519,4,13/01/2012,34.41,3.263,3666.28,14553.37,76.37,820.37,5955.28,4.607,False,1941676.61
520,4,20/01/2012,42.09,3.273,2109.41,7040.02,44.16,918.36,1116.83,4.607,False,2005097.76
521,4,27/01/2012,40.31,3.29,1346.06,3740.12,46.16,445.47,2451.89,4.607,False,1928720.51
522,4,03/02/2012,41.81,3.354,50820.76,4033.29,285.11,48086.64,7456.15,4.607,False,2173373.91
523,4,10/02/2012,33.0,3.411,11374.63,7208.51,118.37,12869.78,10618.93,4.607,True,2374660.64
524,4,17/02/2012,34.19,3.493,14225.99,11049.65,17.36,11912.49,7565.99,4.607,False,2427640.17
525,4,24/02/2012,41.31,3.541,9777.71,4703.88,5.4,1179.72,9352.14,4.607,False,2226662.17
526,4,02/03/2012,50.38,3.619,18564.88,1394.86,32.93,10714.6,3592.82,4.607,False,2206319.9
527,4,09/03/2012,53.63,3.667,8779.57,602.02,8.53,1103.64,9464.98,4.607,False,2202450.81
528,4,16/03/2012,59.81,3.707,5669.21,37.12,,8540.87,2544.94,4.607,False,2214967.44
529,4,23/03/2012,59.07,3.759,8806.8,-10.5,5.99,739.14,4396.97,4.607,False,2091592.54
530,4,30/03/2012,72.63,3.82,2565.8,442.52,6.5,487.66,4076.68,4.607,False,2089381.77
531,4,06/04/2012,67.69,3.864,11341.17,,73.38,5677.89,7821.95,4.308,False,2470206.13
532,4,13/04/2012,68.69,3.881,12506.74,5941.43,30.84,3915.29,4392.95,4.308,False,2105301.39
533,4,20/04/2012,68.6,3.864,2774.39,4279.41,43.43,2409.97,4544.22,4.308,False,2144336.89
534,4,27/04/2012,76.47,3.81,3993.66,97.77,26.68,113.37,3947.45,4.308,False,2064065.66
535,4,04/05/2012,80.14,3.747,13737.91,,93.65,6993.97,4541.89,4.308,False,2196968.33
