Date,Promotion2,Weekly_Sales
20111111,6115.67,1594938.89
20111118,254.39,1539483.7
20111125,98.0,2033320.66
20111202,68.0,1584083.95
20111209,19.0,1799682.38
20111216,67.0,1881176.67
20111223,40.48,2270188.99
20111230,46011.38,1497462.72
20120106,21813.16,1550369.92
20120113,8025.87,1459601.17
20120120,2807.19,1394393.84
20120127,1082.74,1319325.59
20120203,3579.21,1636339.65
20120210,6927.23,1802477.43
20120217,11062.27,1819870.0
20120224,7556.01,1539387.83
20120302,1569.0,1688420.76
20120309,151.88,1675431.16
20120316,7.5,1677472.78
20120323,9.48,1511068.07
20120330,0.5,1649604.63
20120413,3288.69,1621031.7
20120420,612.02,1521577.87
20120601,12.0,1624477.58
20120608,116.8,1697230.96
20120615,109.6,1630607.0
20120622,171.25,1527845.81
20120629,161.6,1540421.49
20120706,94.4,1769854.16
20120713,45.2,1527014.04
20120720,313.72,1497954.76
20120727,389.02,1439123.71
20120803,119.98,1631135.79
20120810,245.0,1592409.97
20120817,137.86,1597868.05
20120824,260.06,1494122.38
20120831,102.32,1582083.4
20120907,35.74,1661767.33
20120914,7.0,1517428.87
20120921,7.64,1506126.06
20120928,7.64,1437059.26
20111111,20445.0,1920725.15
20111118,1217.76,1902762.5
20111125,62.0,2614202.3
20111202,83.47,1954952.0
20111209,40.0,2290549.32
20111216,61.03,2432736.52
20111223,15.18,3224369.8
20111230,92523.94,1874226.52
20120106,37454.29,1799520.14
20120113,12092.63,1744725.48
20120120,4355.69,1711769.11
20120127,1507.56,1660906.14
20120203,3818.85,1935299.94
20120210,6674.42,2103322.68
20120217,14273.24,2196688.46
20120224,12059.1,1861802.7
20120302,2144.7,1952555.66
20120309,368.32,1937628.26
20120316,230.42,1976082.13
20120323,139.93,1790439.16
20120330,164.77,1857480.84
20120406,1.3,2129035.91
20120413,6573.08,1935869.1
20120420,2236.2,1847344.45
20120601,21.0,1910092.37
20120608,463.6,2010216.49
20120615,195.0,1962924.3
20120622,314.0,1887733.21
20120629,275.8,1881046.12
20120706,295.05,2041507.4
20120713,342.25,1830075.13
20120720,241.2,1819666.46
20120727,197.72,1757923.88
20120803,164.58,1946104.64
20120810,142.3,1866719.96
20120817,330.78,1928016.01
20120824,211.38,1876788.15
20120831,73.22,1947083.3
20120907,149.28,1898777.07
20120921,3.82,1829415.67
20120928,1.91,1746470.56
20111111,2006.62,407764.25
20111118,23.27,398838.97
20111125,10.47,556925.1900000001
20111202,18.94,472511.32
20111209,6.47,468772.8
20111223,0.24,551221.21
20111230,14356.07,410553.88
20120106,9389.98,398178.21
20120113,3323.64,367438.62
20120120,1629.26,365818.61
20120127,349.99,349518.1
20120203,268.29,424960.66
20120210,1594.87,473292.47
20120217,3128.74,475591.08
20120224,1802.84,418925.47
20120302,601.32,469752.56
20120309,298.46,445162.05
20120316,80.89,411775.8
20120323,36.1,413907.25
20120330,99.83,407488.84
20120413,1673.42,420789.74
20120420,130.68,434822.13
20120601,10.0,432268.53
20120608,28.6,446336.8
20120615,31.8,442074.79
20120622,11.2,419497.95
20120629,8.0,422965.33
20120706,30.7,411206.5
20120713,20.8,416913.1
20120720,66.2,432424.85
20120727,31.0,389427.9
20120803,37.2,419990.29
20120810,28.4,391811.6
20120817,44.2,394918.83
20120824,26.8,412449.67
20120831,27.8,408838.73
20120907,19.0,408229.73
20120921,1.91,414392.09
20111111,16658.47,2203028.96
20111118,840.56,2243946.59
20111125,137.88,3004702.33
20111202,160.94,2180999.26
20111209,30.0,2508955.24
20111216,72.3,2771397.17
20111223,69.05,3676388.98
20111230,72413.71,2007105.86
20120106,38677.72,2047766.07
20120113,14553.37,1941676.61
